ResortName,PassAffiliation,Latitude,Longitude
Crotched Mountain,Epic,42.9984151,-71.8736895
Dartmouth Skiway,"Indy, Uphill New England",43.787748,-72.099538
Gateway Hills Snow Park,,42.7146727,-71.4527315
Granite Gorge,,42.970978,-72.212044
Gunstock,,43.5410554,-71.3628798
Kanc Recreation Area,,44.052585,-71.6652845
King Pine Ski Area,"Indy Allied, Uphill New England",43.868054,-71.0888828
Loon Mountain Resort,Ikon,44.0563456,-71.6336041
McIntyre Ski Area,"Indy Allied, Freedom",43.0065612,-71.4418183
Mount Eustis Ski Hill,,44.2973976,-71.7736029
Mount Propect Ski Tow,,44.4571189,-71.5769195
Mount Sunapee,Epic,43.313611,-72.074167
Pats Peak,Indy,43.1639733,-71.7976596
Proctor Ski Area,,43.4310027,-71.8260451
Ragged Mountain Resort,Indy,43.4854683,-71.8422858
Storrs Hill,,43.64,-72.25
Tenney Mountain Resort,Uphill New England,43.7470855,-71.7645874
Veterans Memorial Recreation Area,,43.4451522,-71.6912002
Waterville Valley,"Indy, Uphill New England",43.9500695,-71.4995204
Whaleback Mountain,"Indy, Uphill New England",43.601705,-72.180265
Wildcat Mountain Resort,Epic,44.2640724,-71.2393036
Big Snow American Dream,,40.8094987,-74.0711355
Campgaw,,41.0586447,-74.1949637
Mountain Creek,,41.191883,-74.5029246
National Winter Activity Center,,41.1871439,-74.4815493
Angel Fire Resort,Powder Alliance,36.3866879,-105.2721983
Cloudcroft,,32.9573133,-105.7424855
Pajarito,Power,5.2931929,-72.7028179
Red River,Freedom,36.7080849,-105.4061159
Sandia Peak,Power,35.2037063,-106.4505666
Sipapu,Power,36.1555831,-105.5505691
Ski Apache,,33.397328,-105.788716
Ski Santa Fe,,35.7963071,-105.8011674
Taos Ski Valley,"Ikon, Mountain Collective",36.5959999,-105.4545
Beartown Ski Area,,44.7640957,-73.5837774
Belleayre,,42.1410908,-74.5019161
Big Tupper,,44.1737795,-74.4765953
Brantling,,43.1500556,-77.0657092
Bristol Mountain,,42.7453,-77.4043
Buffalo Ski Center,,42.680979,-78.69204
Camillus Ski Hill,,40.7127753,-74.0059728
Cazenovia Ski Club,Indy,42.97673,-75.8557189
Chestnut Ridge,,40.1129616,-78.6114999
Double H Ranch,,43.3757057,-73.7894897
Dry Hill,Indy Allied,43.98,-75.91
Dynamite Hill Recreation Area,,43.6588964,-73.7966023
Emery Park,,42.7149612,-78.5972554
Four Seasons Golf and Ski Center,,43.2994285,-74.2179326
Gore Mountain,,43.6749627,-74.046371
